All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[6, 4, 6], [7, 0, 2], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[6, 4, 6], [7, 0, 2], [6, 7, 8], [0, 5, 12]]
State 3: Pieces: [[5, 3, 6], [7, 0, 2], [0, 5, 12], [6, 7, 8]]
State 4: Pieces: [[5, 3, 6], [7, 0, 2], [5, 7, 8], [0, 5, 12]]
State 5: Pieces: [[4, 4, 6], [7, 0, 2], [0, 5, 12], [5, 7, 8]]
State 6: Pieces: [[4, 4, 6], [7, 0, 2], [4, 7, 8], [0, 5, 12]]
State 7: Pieces: [[3, 3, 6], [7, 0, 2], [0, 5, 12], [4, 7, 8]]
State 8: Pieces: [[3, 3, 6], [7, 0, 2], [3, 7, 8], [0, 5, 12]]
State 9: Pieces: [[2, 2, 6], [7, 0, 2], [0, 5, 12], [3, 7, 8]]
State 10: Pieces: [[2, 2, 6], [7, 0, 2], [2, 7, 8], [0, 5, 12]]
State 11: Pieces: [[3, 3, 6], [7, 0, 2], [0, 5, 12], [2, 7, 8]]
State 12: Pieces: [[3, 3, 6], [7, 0, 2], [1, 7, 8], [0, 5, 12]]
State 13: Pieces: [[0, 0, 2], [3, 3, 6], [0, 5, 12], [1, 7, 8]]
State 14: Pieces: [[3, 3, 6], [0, 0, 2], [1, 5, 12], [1, 7, 8]]
State 15: Pieces: [[4, 3, 6], [0, 0, 2], [1, 5, 12], [1, 7, 8]]
State 16: Pieces: [[4, 3, 6], [0, 0, 2], [4, 7, 8], [1, 5, 12]]
State 17: Pieces: [[3, 3, 6], [0, 0, 2], [1, 5, 12], [4, 7, 8]]
State 18: Pieces: [[3, 3, 6], [0, 0, 2], [3, 7, 8], [1, 5, 12]]
State 19: Pieces: [[4, 3, 6], [0, 0, 2], [1, 5, 12], [3, 7, 8]]
State 20: Pieces: [[4, 3, 6], [0, 0, 2], [4, 7, 8], [1, 5, 12]]
State 21: Pieces: [[3, 3, 6], [0, 0, 2], [1, 5, 12], [4, 7, 8]]
State 22: Pieces: [[3, 3, 6], [0, 0, 2], [3, 7, 8], [1, 5, 12]]
State 23: Pieces: [[4, 3, 6], [0, 0, 2], [1, 5, 12], [3, 7, 8]]
State 24: Pieces: [[4, 3, 6], [0, 0, 2], [4, 7, 8], [1, 5, 12]]
