All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 6, 12], [0, 7, 8]]
State 3: Pieces: [[1, 0, 2], [7, 5, 6], [1, 6, 12], [0, 7, 8]]
State 4: Pieces: [[7, 5, 6], [1, 0, 2], [2, 5, 12], [0, 7, 8]]
State 5: Pieces: [[2, 0, 2], [7, 5, 6], [2, 5, 12], [0, 7, 8]]
State 6: Pieces: [[7, 5, 6], [2, 0, 2], [3, 5, 12], [0, 7, 8]]
State 7: Pieces: [[3, 0, 2], [7, 5, 6], [3, 5, 12], [0, 7, 8]]
State 8: Pieces: [[7, 5, 6], [3, 0, 2], [4, 5, 12], [0, 7, 8]]
State 9: Pieces: [[4, 0, 2], [7, 5, 6], [4, 5, 12], [0, 7, 8]]
State 10: Pieces: [[7, 5, 6], [4, 0, 2], [3, 4, 12], [0, 7, 8]]
State 11: Pieces: [[6, 4, 6], [4, 0, 2], [3, 4, 12], [0, 7, 8]]
State 12: Pieces: [[6, 4, 6], [4, 0, 2], [3, 3, 12], [0, 7, 8]]
State 13: Pieces: [[5, 4, 6], [4, 0, 2], [3, 3, 12], [0, 7, 8]]
State 14: Pieces: [[5, 4, 6], [4, 0, 2], [5, 7, 8], [3, 3, 12]]
State 15: Pieces: [[6, 5, 6], [4, 0, 2], [3, 3, 12], [5, 7, 8]]
State 16: Pieces: [[6, 5, 6], [4, 0, 2], [2, 7, 8], [3, 3, 12]]
State 17: Pieces: [[5, 4, 6], [4, 0, 2], [3, 3, 12], [2, 7, 8]]
State 18: Pieces: [[5, 4, 6], [4, 0, 2], [5, 7, 8], [3, 3, 12]]
State 19: Pieces: [[6, 5, 6], [4, 0, 2], [3, 3, 12], [5, 7, 8]]
State 20: Pieces: [[6, 5, 6], [4, 0, 2], [2, 7, 8], [3, 3, 12]]
State 21: Pieces: [[5, 4, 6], [4, 0, 2], [3, 3, 12], [2, 7, 8]]
State 22: Pieces: [[5, 4, 6], [4, 0, 2], [5, 7, 8], [3, 3, 12]]
