All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 5, 12], [0, 7, 8]]
State 3: Pieces: [[0, 7, 2], [7, 5, 6], [1, 5, 12]]
State 4: Pieces: [[7, 5, 6], [0, 7, 2], [2, 5, 12]]
State 5: Pieces: [[6, 4, 6], [0, 7, 2], [2, 5, 12]]
State 6: Pieces: [[6, 4, 6], [0, 7, 2], [1, 5, 12]]
State 7: Pieces: [[4, 7, 2], [6, 4, 6], [1, 5, 12]]
State 8: Pieces: [[6, 4, 6], [4, 7, 2], [2, 5, 12]]
State 9: Pieces: [[5, 3, 6], [4, 7, 2], [2, 5, 12]]
State 10: Pieces: [[5, 3, 6], [4, 7, 2], [2, 6, 12]]
State 11: Pieces: [[4, 4, 6], [4, 7, 2], [2, 6, 12]]
State 12: Pieces: [[4, 4, 6], [4, 7, 2], [2, 5, 12]]
State 13: Pieces: [[4, 6, 2], [4, 4, 6], [2, 5, 12]]
State 14: Pieces: [[4, 4, 6], [4, 6, 2], [2, 4, 12]]
State 15: Pieces: [[5, 6, 2], [4, 4, 6], [2, 4, 12]]
State 16: Pieces: [[4, 4, 6], [5, 6, 2], [2, 3, 12]]
State 17: Pieces: [[5, 2, 2], [4, 4, 6], [2, 3, 12]]
State 18: Pieces: [[4, 4, 6], [5, 2, 2], [2, 4, 12]]
State 19: Pieces: [[5, 3, 2], [4, 4, 6], [2, 4, 12]]
State 20: Pieces: [[4, 4, 6], [5, 3, 2], [2, 5, 12]]
State 21: Pieces: [[3, 3, 6], [5, 3, 2], [2, 5, 12]]
State 22: Pieces: [[3, 3, 6], [5, 3, 2], [3, 5, 12]]
State 23: Pieces: [[6, 3, 2], [3, 3, 6], [3, 5, 12]]
State 24: Pieces: [[3, 3, 6], [6, 3, 2], [4, 5, 12]]
State 25: Pieces: [[5, 3, 2], [3, 3, 6], [4, 5, 12]]
State 26: Pieces: [[3, 3, 6], [5, 3, 2], [3, 5, 12]]
State 27: Pieces: [[6, 3, 2], [3, 3, 6], [3, 5, 12]]
State 28: Pieces: [[3, 3, 6], [6, 3, 2], [4, 5, 12]]
State 29: Pieces: [[5, 3, 2], [3, 3, 6], [4, 5, 12]]
State 30: Pieces: [[3, 3, 6], [5, 3, 2], [3, 5, 12]]
