All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[1, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [1, 0, 2], [7, 7, 8], [0, 5, 12]]
State 3: Pieces: [[6, 6, 6], [1, 0, 2], [0, 5, 12], [7, 7, 8]]
State 4: Pieces: [[6, 6, 6], [1, 0, 2], [7, 1, 8], [0, 5, 12]]
State 5: Pieces: [[0, 0, 2], [6, 6, 6], [0, 5, 12], [7, 1, 8]]
State 6: Pieces: [[6, 6, 6], [0, 0, 2], [1, 5, 12], [7, 1, 8]]
State 7: Pieces: [[1, 0, 2], [6, 6, 6], [1, 5, 12], [7, 1, 8]]
State 8: Pieces: [[6, 6, 6], [1, 0, 2], [0, 5, 12], [7, 1, 8]]
State 9: Pieces: [[0, 0, 2], [6, 6, 6], [0, 5, 12], [7, 1, 8]]
State 10: Pieces: [[6, 6, 6], [0, 0, 2], [1, 5, 12], [7, 1, 8]]
State 11: Pieces: [[1, 0, 2], [6, 6, 6], [1, 5, 12], [7, 1, 8]]
State 12: Pieces: [[6, 6, 6], [1, 0, 2], [0, 5, 12], [7, 1, 8]]
