All states during the game:
============================================================

State 0: Pieces: [[7, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 1: Pieces: [[0, 0, 2], [7, 5, 6], [0, 5, 12], [0, 7, 8]]
State 2: Pieces: [[7, 5, 6], [0, 0, 2], [1, 6, 12], [0, 7, 8]]
State 3: Pieces: [[1, 0, 2], [7, 5, 6], [1, 6, 12], [0, 7, 8]]
State 4: Pieces: [[7, 5, 6], [1, 0, 2], [2, 6, 12], [0, 7, 8]]
State 5: Pieces: [[2, 0, 2], [7, 5, 6], [2, 6, 12], [0, 7, 8]]
State 6: Pieces: [[7, 5, 6], [2, 0, 2], [1, 5, 12], [0, 7, 8]]
State 7: Pieces: [[1, 0, 2], [7, 5, 6], [1, 5, 12], [0, 7, 8]]
State 8: Pieces: [[7, 5, 6], [1, 0, 2], [2, 5, 12], [0, 7, 8]]
State 9: Pieces: [[2, 0, 2], [7, 5, 6], [2, 5, 12], [0, 7, 8]]
State 10: Pieces: [[7, 5, 6], [2, 0, 2], [3, 4, 12], [0, 7, 8]]
State 11: Pieces: [[3, 0, 2], [7, 5, 6], [3, 4, 12], [0, 7, 8]]
State 12: Pieces: [[7, 5, 6], [3, 0, 2], [4, 4, 12], [0, 7, 8]]
State 13: Pieces: [[4, 0, 2], [7, 5, 6], [4, 4, 12], [0, 7, 8]]
State 14: Pieces: [[7, 5, 6], [4, 0, 2], [3, 3, 12], [0, 7, 8]]
State 15: Pieces: [[3, 0, 2], [7, 5, 6], [3, 3, 12], [0, 7, 8]]
State 16: Pieces: [[7, 5, 6], [3, 0, 2], [4, 3, 12], [0, 7, 8]]
State 17: Pieces: [[4, 0, 2], [7, 5, 6], [4, 3, 12], [0, 7, 8]]
State 18: Pieces: [[7, 5, 6], [4, 0, 2], [3, 2, 12], [0, 7, 8]]
State 19: Pieces: [[4, 6, 2], [7, 5, 6], [3, 2, 12], [0, 7, 8]]
State 20: Pieces: [[7, 5, 6], [4, 6, 2], [0, 5, 8], [3, 2, 12]]
State 21: Pieces: [[6, 4, 6], [4, 6, 2], [3, 2, 12], [0, 5, 8]]
State 22: Pieces: [[6, 4, 6], [4, 6, 2], [0, 7, 8], [3, 2, 12]]
State 23: Pieces: [[0, 6, 2], [6, 4, 6], [3, 2, 12], [0, 7, 8]]
State 24: Pieces: [[6, 4, 6], [0, 6, 8], [3, 2, 12]]
State 25: Pieces: [[5, 5, 6], [3, 2, 12], [0, 6, 8]]
State 26: Pieces: [[5, 5, 6], [4, 3, 12], [0, 6, 8]]
State 27: Pieces: [[4, 5, 6], [4, 3, 12], [0, 6, 8]]
State 28: Pieces: [[4, 5, 6], [0, 5, 8], [4, 3, 12]]
State 29: Pieces: [[4, 6, 6], [4, 3, 12], [0, 5, 8]]
State 30: Pieces: [[4, 6, 6], [5, 3, 12], [0, 5, 8]]
State 31: Pieces: [[5, 6, 6], [5, 3, 12], [0, 5, 8]]
State 32: Pieces: [[5, 6, 6], [4, 4, 12], [0, 5, 8]]
State 33: Pieces: [[6, 6, 6], [4, 4, 12], [0, 5, 8]]
State 34: Pieces: [[6, 6, 6], [5, 4, 12], [0, 5, 8]]
State 35: Pieces: [[5, 6, 6], [5, 4, 12], [0, 5, 8]]
State 36: Pieces: [[5, 6, 6], [0, 6, 8], [5, 4, 12]]
State 37: Pieces: [[4, 7, 6], [5, 4, 12], [0, 6, 8]]
State 38: Pieces: [[4, 7, 6], [4, 4, 12], [0, 6, 8]]
State 39: Pieces: [[5, 7, 6], [4, 4, 12], [0, 6, 8]]
State 40: Pieces: [[5, 7, 6], [5, 4, 12], [0, 6, 8]]
State 41: Pieces: [[6, 7, 6], [5, 4, 12], [0, 6, 8]]
State 42: Pieces: [[6, 7, 6], [6, 4, 12], [0, 6, 8]]
State 43: Pieces: [[7, 7, 6], [6, 4, 12], [0, 6, 8]]
State 44: Pieces: [[7, 7, 6], [7, 4, 12], [0, 6, 8]]
State 45: Pieces: [[6, 7, 6], [7, 4, 12], [0, 6, 8]]
State 46: Pieces: [[6, 7, 6], [6, 4, 12], [0, 6, 8]]
State 47: Pieces: [[7, 7, 6], [6, 4, 12], [0, 6, 8]]
State 48: Pieces: [[7, 7, 6], [7, 4, 12], [0, 6, 8]]
State 49: Pieces: [[6, 7, 6], [7, 4, 12], [0, 6, 8]]
State 50: Pieces: [[6, 7, 6], [6, 4, 12], [0, 6, 8]]
